emp_id,first_name,last_name,dept_id,join_date,employment_type,basic_salary,grade
101,Arjun,Singh,5,2020-05-01,Permanent,27734,L1
102,Meera,Nair,3,2020-05-10,Permanent,43111,L2
103,Neha,Patel,2,2023-04-30,Contract,47433,L3
104,Divya,Patel,1,2022-12-18,Permanent,30666,L1
105,Karthik,Reddy,4,2022-08-15,Permanent,79118,M1
106,Meera,Jain,4,2021-10-08,Permanent,35890,L2
107,Kiran,Gupta,2,2022-02-15,Contract,68433,M1
108,Sneha,Patel,2,2023-12-22,Permanent,41670,L2
109,Sanjay,Kulkarni,3,2023-11-12,Permanent,63943,M1
110,Rahul,Chopra,2,2020-06-10,Permanent,38873,L2
111,Sneha,Chopra,4,2024-01-25,Contract,44743,L2
112,Arjun,Jain,1,2020-12-03,Contract,84300,M1
113,Karthik,Patel,2,2022-11-30,Permanent,85068,M1
114,Sanjay,Agarwal,5,2023-02-26,Contract,27463,L1
115,Divya,Kulkarni,3,2020-08-18,Permanent,27892,L1
116,Sneha,Gupta,4,2022-11-22,Permanent,60265,L3
117,Arjun,Nair,5,2022-08-18,Permanent,54762,L3
118,Meera,Patel,3,2021-02-01,Permanent,51910,L3
119,Arjun,Menon,1,2022-05-13,Permanent,62868,L3
120,Arjun,Rao,4,2020-08-18,Permanent,39574,L2
121,Sanjay,Agarwal,3,2023-06-20,Contract,31914,L1
122,Neha,Jain,2,2021-10-07,Permanent,43252,L2
123,Divya,Jain,4,2023-10-03,Contract,27450,L1
124,Rohan,Nair,1,2021-09-19,Permanent,28776,L1
125,Sanjay,Gupta,3,2023-06-02,Permanent,26413,L1
126,Meera,Reddy,4,2023-06-10,Permanent,23495,L1
127,Vikram,Rao,1,2023-02-10,Permanent,29554,L1
128,Kiran,Rao,1,2023-06-02,Contract,22854,L1
129,Asha,Shah,2,2023-12-10,Permanent,41925,L2
130,Arjun,Singh,3,2020-10-06,Permanent,26389,L1
131,Kiran,Singh,2,2021-08-31,Permanent,38287,L2
132,Rohan,Jain,3,2022-02-02,Permanent,22659,L1
133,Varun,Singh,3,2022-05-13,Contract,56411,L3
134,Arjun,Singh,1,2022-05-21,Permanent,34385,L2
135,Asha,Menon,4,2020-05-23,Permanent,61646,L3
136,Sneha,Gupta,4,2020-09-10,Permanent,37423,L2
137,Divya,Patel,5,2023-01-27,Permanent,52400,L3
138,Meera,Shah,4,2021-09-19,Permanent,57183,L3
139,Varun,Rao,4,2023-02-09,Permanent,60586,L3
140,Anita,Gupta,3,2020-12-03,Permanent,81357,M1
141,Rahul,Iyer,3,2022-03-11,Permanent,40352,L2
142,Anita,Patel,4,2021-02-04,Permanent,23218,L1
143,Asha,Jain,3,2020-02-07,Permanent,28893,L1
144,Neha,Yadav,3,2023-07-24,Permanent,61609,L3
145,Anita,Rao,4,2022-03-26,Contract,43259,L2
146,Meera,Singh,3,2021-04-21,Permanent,63589,L3
147,Anita,Patel,3,2021-05-11,Contract,48420,L3
148,Anita,Patel,3,2022-09-07,Permanent,70492,M1
149,Arjun,Rao,3,2021-07-19,Permanent,27854,L1
150,Sneha,Shah,2,2020-06-03,Contract,35009,L2
151,Sneha,Verma,2,2023-04-14,Permanent,57533,L3
152,Arjun,Yadav,2,2021-06-08,Contract,55647,L3
153,Divya,Reddy,1,2021-05-26,Permanent,44039,L2
154,Anita,Chopra,4,2021-12-27,Permanent,58121,L3
155,Karthik,Iyer,3,2020-05-29,Permanent,33148,L2
156,Sneha,Reddy,1,2021-09-04,Contract,24491,L1
157,Asha,Kulkarni,5,2023-05-04,Contract,27222,L1
158,Neha,Yadav,4,2021-10-17,Permanent,39079,L2
159,Sanjay,Verma,4,2022-04-10,Permanent,53311,L3
160,Meera,Jain,2,2022-03-01,Permanent,30308,L1
